Polar_expression,Polarity
bedrar skinnet ?,0.16666666666666666
med et deksel som skjuler kontakter og kabler,0.8333333333333334
sort,0.8333333333333334
blank,0.8333333333333334
skinnende,0.8333333333333334
skjuler kontakter og kabler,0.8333333333333334
visuelt utfordrende,0.8333333333333334
vil synes den er overharry,0.3333333333333333
vil bli begeistret,1.0
God,0.8333333333333334
plassert på en utmerket måte,1.0
gir god kontroll,0.8333333333333334
langt mer behagelig i bruk enn de vanlige tryknappene som vi finner på de aller fleste skjermer,1.0
langt mer behagelig i bruk enn,0.3333333333333333
En mer allsidig og tilkoblingsvennlig skjerm har vi knapt sett,1.0
kan bare vippes,0.16666666666666666
kan,0.3333333333333333
positivt overrasket,1.0
klart over gjennomsnittet,1.0
flere,0.8333333333333334
forskjellige temperaturer å velge mellom,0.8333333333333334
manuell innstilling,0.8333333333333334
stort,0.8333333333333334
svært gode tilpasningsmuligheter til forskjellige omgivelser,1.0
svært gode,1.0
ikke vår favoritt,0.3333333333333333
refleksene vil sannsynligvis ikke være så sjenerende i de sammenhengene en slik skjerm vil bli brukt,0.5
ikke av de aller raskeste,0.3333333333333333
etterslep,0.3333333333333333
praktisk spillsammenheng var det helt uproblematisk,0.8333333333333334
meget bra,1.0
du kan godt invitere 4 venn( inn ) er til å sitte ved siden av deg og se på skjermen uten at noen på sidene vil få dårligere bilde,1.0
Vertikalt er det derimot ikke spesielt imponerende,0.3333333333333333
her forsvant rødt med det samme vi reiste oss opp og så ned på skjermen,0.3333333333333333
ikke imponert,0.6666666666666666
hadde,0.3333333333333333
ok,0.8333333333333334
vrenger fort når du skrur volumet over 90,0.3333333333333333
Til spill og bakgrunnsmusikk,0.8333333333333334
vi hadde ønsket at den var kraftigere,0.3333333333333333
sliter litt også før den kommer opp i nærheten av maksområdet,0.3333333333333333
spesiell,0.5
god å betjene,0.8333333333333334
har bildekvalitet godt over gjennommsnittet,1.0
godt over gjennommsnittet,1.0
ikke like imponerende,0.16666666666666666
holder på gutteværelset,0.5
tar utfordringen med skikkelig behandling av noe så vanskelig som mellommenneskelige forhold,1.0
må vel,1.0
gjør det enormt godt,1.0
Man opplever en intelligent skuespiller flink nok til å holde igjen,1.0
tydelig nok i alt han foretar seg,0.8333333333333334
Interessant,0.8333333333333334
på flere plan makter denne filmen ikke bare å underholde og vise følelser - men også gi interessant ny kunnskap,1.0
godt gjort,1.0
Halvhjertet,0.3333333333333333
ikke slik vi vil ha dem,0.3333333333333333
forferdelig avgjørelse,0.6666666666666666
albumene skulle bli mer helhetlige,0.3333333333333333
lyden skulle være mer polert og avrundet,0.3333333333333333
medlemmene skulle dra i samme retning,0.3333333333333333
søkk kjedelige,0.6666666666666666
innviklet,0.3333333333333333
innadvendt,0.3333333333333333
aldri turte å gaule i så det skrallet i veggene,0.3333333333333333
Mass Romantics mest rystende øyeblikk,0.8333333333333334
surpompen,0.3333333333333333
dølle Dylan-terrenget,0.3333333333333333
dølle Dylan-terrenget,0.3333333333333333
fått altfor mye positiv oppmerksomhet,0.3333333333333333
tvangstanke om å ville bli dissosiert med powerpopsjangeren førte dem altså på mange måter inn i anonymitet,0.3333333333333333
til en viss grad har gjort noe med,0.5
Dessverre insisterer de fortsatt på en unødvendig kompleksitet,0.8333333333333334
fantastisk anslag,1.0
overlesset med vendinger,0.3333333333333333
ballader som ikke hører hjem noen steds,0.3333333333333333
gjespefesten,0.6666666666666666
holder igjen på sin egen popteft,0.3333333333333333
en gang så virile,0.3333333333333333
nedadgående utviklingen,0.3333333333333333
en gang så virile hovedmannen bak totusentallsklassikere,0.8333333333333334
totusentallsklassikere,0.8333333333333334
totusentallsklassikere,0.8333333333333334
totusentallsklassikere,0.8333333333333334
totusentallsklassikere,0.8333333333333334
totusentallsklassikere,0.8333333333333334
større,0.8333333333333334
mer gjennomtenkt,0.8333333333333334
tryggere på seg selv,0.8333333333333334
The New Pornographers ’ styrke har alltid vært rastløsheten og de kreative forskjellene innad i bandet,0.3333333333333333
magien forsvunnet,0.6666666666666666
helhetlig,0.3333333333333333
Bedre enn bra nok,0.8333333333333334
"bærer den femte "" Die hard "" -filmen",0.8333333333333334
spiller,0.16666666666666666
klarer seg akkurat,0.8333333333333334
fanden i øyerynkene,0.8333333333333334
kan si til og med ganske flate replikker med scenevant showsug,0.8333333333333334
ganske flate,
får av og til en forstyrrende følelse,0.3333333333333333
stort sett proteinhjerna torpedoer med panser-torsoer,0.3333333333333333
ser ut som analfabetiske statister fra en Dolph Lundgren-film,0.3333333333333333
heftige,1.0
tunge,0.8333333333333334
redder filmen,0.8333333333333334
slipper løs sin vedvarende utryddelsesstøy på sart høyttaler-elektronikk,0.3333333333333333
redda den perfekte hustru-skuespilleren Bonnie Bedelia,0.8333333333333334
blødde overfladisk,0.3333333333333333
perfekte hustru-skuespilleren,0.8333333333333334
gjennomfører Moore et demolition derby gjennom Moskvas gater,0.8333333333333334
på sitt beste,0.8333333333333334
Willis på sitt beste,0.8333333333333334
En del av dette er nok computergrafikk,0.16666666666666666
mye nok ser ut som stunts,0.5
liker,0.8333333333333334
Skikkelig vond jernverk,0.6666666666666666
starter som pysestoff,0.3333333333333333
vidunderlige,1.0
sur,0.3333333333333333
litt defensiv,0.3333333333333333
ønska,0.3333333333333333
ønska,0.3333333333333333
ikke tålelig før han omsider smiler,0.16666666666666666
fjeset og humøret til Vinnie Jones,0.3333333333333333
kjerringaktig småkrangling,0.3333333333333333
kommer ikke til å skape forventninger om at replikk-forfatterne i USA er på bedringens vei,0.3333333333333333
I ei tid da halve USA går arbeidsledige klager denne filmen på de som faktisk utøver et yrke,0.3333333333333333
"sviskete Oprah-skitt ,",0.3333333333333333
politisk umusikalsk,0.3333333333333333
redder seg av gårde,0.8333333333333334
"Hvis folk ikke hadde snakket til hverandre i det hele tatt , ville denne filmen vært perfekt",0.3333333333333333
bare litt mer enn bra nok,0.3333333333333333
Velspilt,0.8333333333333334
fin sans for,0.8333333333333334
fin sans for,0.8333333333333334
særdeles effektiv,1.0
Kjekke,0.8333333333333334
kjedelige,0.3333333333333333
Utagerende og rølpete,0.3333333333333333
frisk og lekende tone,0.8333333333333334
full av autentiske dialoger og gjenkjennelige situasjoner,0.8333333333333334
mye å le av,0.8333333333333334
ingen ambisiøs eller dristig film,0.16666666666666666
fin blanding munter ærlighet og vilje,0.8333333333333334
velspilt,0.8333333333333334
stort nærvær,1.0
mye komisk talent,1.0
god rytme og nærhet,0.8333333333333334
"enkel , men fiffig",0.8333333333333334
litt vimsete,0.16666666666666666
borer ikke dypt nok til at det vonde kjennes virkelig vondt,0.3333333333333333
"hadde filmen vært en anelse hardere i klypen , ville den som komedie truffet enda nærmere blink",0.16666666666666666
fin,0.8333333333333334
kler bluesen,0.8333333333333334
kommer neppe til å bli blant hans største kommersielle suksesser,0.3333333333333333
jordnær,0.5
ordinær,0.16666666666666666
gode,0.8333333333333334
gode åpningen « The Beat Goes on » ikke blir fulgt opp gjennom resten av produksjonen,0.3333333333333333
Best,0.8333333333333334
Best,0.8333333333333334
platens beste,0.8333333333333334
Fin tone i stemmen,1.0
Det er ingen andre som koser seg så mye,0.8333333333333334
kommer nærmest i det andre verset,0.5
forsiktig amatøraften,0.3333333333333333
ubekveme,0.3333333333333333
har en fin tone i stemmen,1.0
potensial til å bli varmere i trøya,0.16666666666666666
godt kunne vært enklere å få slippe inn,0.3333333333333333
Passende nok flyter tidvis,0.8333333333333334
skaper en subtil ambiens,0.8333333333333334
kommer imidlertid til uttrykk gjennom Tuvs tekster,0.8333333333333334
Barnligheten kommer imidlertid til uttrykk,0.8333333333333334
trolig vil kunne bli godt mottatt blant nysgjerrige krapyler på Miniøya,0.8333333333333334
Hodet,0.3333333333333333
Hodet,0.3333333333333333
Hodet,0.3333333333333333
har sammen gitt ut en av de kuleste låtene så langt i år,1.0
en av de kuleste låtene så langt i år,1.0
übersløye elektropopsporet,0.8333333333333334
passer den imidlertid ikke inn,0.3333333333333333
passer,0.3333333333333333
klart mest umiddelbare Tuv har medvirket i,0.8333333333333334
Seilende under sitt eget skrudde flagg finnes det enkelte - men ikke nok - hjelpere til å finne veien helt inn i hennes verden,0.16666666666666666
